date,foundation_model,foundation_lower,foundation_upper
2016-05-13 19:00:00,172.31357,100.517235,306.35483
2016-05-13 20:00:00,123.68913,75.40156,236.80672
2016-05-13 21:00:00,85.4565,58.749615,173.03629
2016-05-13 22:00:00,66.36072,50.680374,134.23102
2016-05-13 23:00:00,61.29666,48.33955,116.2438
2016-05-14 00:00:00,60.08231,48.70377,104.23581
2016-05-14 01:00:00,57.237335,47.083706,96.0186
2016-05-14 02:00:00,56.188255,45.467186,96.371216
2016-05-14 03:00:00,54.788914,42.23022,102.20248
2016-05-14 04:00:00,55.004814,37.86386,114.86424
2016-05-14 05:00:00,62.58986,34.934612,143.06775
2016-05-14 06:00:00,82.81477,36.99575,195.88739
2016-05-14 07:00:00,131.89548,58.473465,279.77573
2016-05-14 08:00:00,169.19536,79.74689,341.85162
2016-05-14 09:00:00,185.30653,90.83153,372.9485
2016-05-14 10:00:00,198.68924,97.43856,395.06183
2016-05-14 11:00:00,208.88652,106.62866,419.92535
2016-05-14 12:00:00,196.60043,99.134155,406.20404
2016-05-14 13:00:00,172.82288,85.99086,374.33585
2016-05-14 14:00:00,146.06757,74.14139,335.029
2016-05-14 15:00:00,138.95244,69.46389,319.85028
2016-05-14 16:00:00,155.98772,78.104164,338.80066
2016-05-14 17:00:00,168.14883,86.88605,349.3448
2016-05-14 18:00:00,142.36752,75.93967,311.03555
2016-05-14 19:00:00,117.224075,85.63479,179.44113
2016-05-14 20:00:00,96.95623,72.68857,152.47177
2016-05-14 21:00:00,77.596214,61.677635,122.24508
2016-05-14 22:00:00,66.57263,54.82572,102.66163
2016-05-14 23:00:00,61.015923,51.989098,90.302246
2016-05-15 00:00:00,59.005856,51.04249,82.14403
2016-05-15 01:00:00,56.815792,49.72225,77.12237
2016-05-15 02:00:00,56.394993,49.034046,78.346695
2016-05-15 03:00:00,54.19648,46.94066,79.56048
2016-05-15 04:00:00,54.570236,45.553364,86.546646
2016-05-15 05:00:00,59.821888,46.515053,103.72897
2016-05-15 06:00:00,66.37514,46.017223,127.08517
2016-05-15 07:00:00,81.250984,52.752697,156.72902
2016-05-15 08:00:00,95.139626,62.649277,178.78728
2016-05-15 09:00:00,87.84101,60.366302,171.22641
2016-05-15 10:00:00,83.26175,57.57828,167.75835
2016-05-15 11:00:00,90.13357,60.266228,180.001
2016-05-15 12:00:00,91.220245,59.37045,182.86026
2016-05-15 13:00:00,85.73113,54.87952,177.14722
2016-05-15 14:00:00,81.82435,53.474857,172.94614
2016-05-15 15:00:00,83.680016,53.104683,177.81282
2016-05-15 16:00:00,101.743805,61.546066,204.8105
2016-05-15 17:00:00,142.74074,86.54082,251.52037
2016-05-15 18:00:00,126.60118,79.26166,228.94972
2016-05-15 19:00:00,103.63711,77.59037,153.03745
2016-05-15 20:00:00,85.858345,66.85213,127.34897
2016-05-15 21:00:00,70.0217,58.06199,101.387634
2016-05-15 22:00:00,62.876514,53.820763,87.01921
2016-05-15 23:00:00,58.46093,52.11205,75.77312
2016-05-16 00:00:00,56.125706,50.984116,68.273865
2016-05-16 01:00:00,53.61561,49.348362,63.79052
2016-05-16 02:00:00,54.216297,48.891907,66.88083
2016-05-16 03:00:00,52.872757,47.21782,70.8889
2016-05-16 04:00:00,51.869102,44.730354,78.40822
2016-05-16 05:00:00,60.486095,46.701748,99.923744
2016-05-16 06:00:00,61.194202,42.379303,114.481186
2016-05-16 07:00:00,79.94043,51.929554,143.48575
2016-05-16 08:00:00,77.82338,51.337704,142.85834
2016-05-16 09:00:00,63.12398,43.5321,124.43826
2016-05-16 10:00:00,63.916534,44.757946,123.531265
2016-05-16 11:00:00,69.47807,49.204235,130.11768
2016-05-16 12:00:00,74.075485,52.211094,134.61441
2016-05-16 13:00:00,73.56815,51.82565,133.62733
2016-05-16 14:00:00,72.71996,51.50727,132.90778
2016-05-16 15:00:00,74.60935,49.735268,139.09381
2016-05-16 16:00:00,104.16776,63.54002,183.2875
2016-05-16 17:00:00,155.24835,92.73228,244.19513
2016-05-16 18:00:00,125.92676,76.79654,208.90616
2016-05-16 19:00:00,114.00913,81.58709,178.94797
2016-05-16 20:00:00,93.64242,70.383736,148.85585
2016-05-16 21:00:00,74.6626,60.910877,116.29729
2016-05-16 22:00:00,64.476776,55.047413,95.38835
2016-05-16 23:00:00,57.96681,51.653305,79.98036
2016-05-17 00:00:00,56.22908,50.92774,72.91882
2016-05-17 01:00:00,54.4244,50.11104,69.08243
2016-05-17 02:00:00,54.451916,49.359932,70.86955
2016-05-17 03:00:00,52.442684,47.569515,73.662575
2016-05-17 04:00:00,52.091316,46.094193,81.083374
2016-05-17 05:00:00,58.960358,47.436073,101.35695
2016-05-17 06:00:00,63.549706,43.470463,123.89935
2016-05-17 07:00:00,93.53522,58.05904,168.87149
2016-05-17 08:00:00,90.54114,56.56045,167.71735
2016-05-17 09:00:00,65.72931,44.082447,137.15443
2016-05-17 10:00:00,66.62164,47.283375,135.05635
2016-05-17 11:00:00,69.6921,50.34335,140.1647
2016-05-17 12:00:00,74.05464,53.301693,145.4256
2016-05-17 13:00:00,75.7794,54.62822,147.08397
2016-05-17 14:00:00,75.58757,55.262886,147.55812
2016-05-17 15:00:00,73.497665,50.642204,150.58006
2016-05-17 16:00:00,101.38923,62.385254,194.74939
2016-05-17 17:00:00,166.85028,99.465355,272.29886
2016-05-17 18:00:00,134.208,81.044395,234.36914
2016-05-17 19:00:00,88.36974,65.572174,138.6734
2016-05-17 20:00:00,74.34388,58.31028,115.707085
2016-05-17 21:00:00,63.00939,53.66104,92.36701
2016-05-17 22:00:00,58.24093,51.927666,78.55287
2016-05-17 23:00:00,53.8912,49.851414,66.04693
2016-05-18 00:00:00,52.251453,49.073162,59.695625
2016-05-18 01:00:00,51.67963,48.492817,58.166786
2016-05-18 02:00:00,52.469913,47.61913,60.345314
2016-05-18 03:00:00,50.897896,45.65926,63.15983
2016-05-18 04:00:00,51.01796,44.292355,70.60974
2016-05-18 05:00:00,58.971733,45.335075,91.40047
2016-05-18 06:00:00,67.15588,42.826603,117.146645
2016-05-18 07:00:00,101.683975,57.651516,166.92319
2016-05-18 08:00:00,106.4013,58.523148,176.91913
2016-05-18 09:00:00,73.51837,40.041355,139.04628
2016-05-18 10:00:00,65.51138,40.189095,125.94686
2016-05-18 11:00:00,65.49674,44.103336,124.808395
