,0
lag_1,0.107894816
roll_mean_3,0.054059383
hour_cos,0.04295267
roll_std_6,0.03741172
roll_std_3,0.035228796
hour_sin,0.03346904
lag_24,0.025576606
RH_3,0.023101669
roll_mean_168,0.022427488
roll_mean_6,0.02132481
roll_std_12,0.020970926
lag_168,0.020877514
lag_2,0.02045248
roll_mean_12,0.019995516
T5,0.019934788
T_out,0.019831816
lag_6,0.019790135
RH_6,0.018911695
Tdewpoint,0.018189153
roll_std_168,0.017483704
T8,0.01718946
RH_4,0.017041977
T4,0.016913643
T9,0.016695036
RH_7,0.016550682
T2,0.016520638
roll_std_24,0.016466359
T3,0.016022587
T7,0.015753116
dow_sin,0.0154437795
RH_out,0.0152657535
RH_1,0.015175871
RH_9,0.015168032
T1,0.014945453
RH_8,0.014778183
RH_5,0.014599715
lag_12,0.014196765
RH_2,0.014168012
roll_mean_24,0.013814831
Visibility,0.013546105
lag_3,0.013503501
Windspeed,0.013351805
lag_48,0.011749196
T6,0.011732163
Press_mm_hg,0.0114104515
dayofweek,0.009704864
hour,0.008895038
dow_cos,0.0068772356
is_weekend,0.0026349986
