model,n_obs,MAE,RMSE,MASE,Bias,pct_vs_best_benchmark
foundation_model,336,34.669047540674605,68.31493119941528,0.6489441494959055,-17.09674170138889,-20.222805796141998
sarimax_univariate,336,36.10680132355959,64.69216178233856,0.6758563946253446,-7.237041785090601,-16.914380243926363
sarimax,336,36.7040825848361,64.78541475095663,0.6870364589075891,-5.015575873382868,-15.539972045394844
seasonal_naive_weekly,336,43.45734126984127,81.40888006825948,0.8134456920578472,-13.159722222222223,0.0
feature_model,336,45.33535830558292,65.63156026533578,0.8485988979994971,13.828323163683452,4.321518484254257
feature_model_histgb,336,46.1051784353456,67.0101016524957,0.8630085892027977,15.997706353757266,6.09295711180997
seasonal_naive_daily,336,48.30853174603175,85.56471876821426,0.9042515232223917,1.750992063492064,11.163109234105685
mean,336,50.25809156123767,74.938304240935,0.9407438853124055,-3.2867615418026968,15.649255321829845
naive,336,85.55059523809524,110.38970919802894,1.601358047131799,50.97718253968254,96.86108891679031
drift,336,85.8020893795971,110.67918975059627,1.6060655791621685,51.36792204027676,97.43980389141394
