p,d,q,aic,bic,converged
6,0,0,32160.998670739693,32220.72333089944,True
0,0,6,32161.754345023786,32221.475556313002,True
6,1,1,32163.37779379518,32223.099005084398,True
2,0,5,32163.8785988924,32229.57572506812,False
0,1,6,32170.275820653344,32224.02180575927,True
5,1,2,32172.909945908545,32232.63460606829,False
1,1,6,32173.56517624446,32233.28293747327,False
3,1,4,32174.09645902244,32233.821119182187,False
1,0,4,32174.45895510162,32228.214252158716,True
2,0,4,32174.485458972544,32234.213566813756,False
5,0,0,32175.28564517142,32229.040942228516,True
0,0,5,32181.36058422547,32235.11277836924,True
4,1,2,32183.028122020984,32236.783419078078,False
1,1,3,32185.06398276404,32226.87365825289,True
4,1,1,32185.250921363775,32233.033407636747,False
4,0,1,32185.745956502586,32239.504355403584,False
2,1,3,32185.748363153907,32233.53084942688,False
4,0,0,32187.9020119754,32235.68725544295,True
1,0,3,32187.90728298935,32235.6925264569,True
2,0,3,32188.512303868403,32242.2707027694,False
3,1,2,32193.934878805925,32241.720122273477,False
3,1,3,32194.331068684427,32248.08636574152,False
3,0,1,32197.16032824805,32244.948327960246,False
3,0,0,32198.565494010203,32240.379993758375,True
5,0,1,32199.975173235478,32259.70328107669,False
1,0,2,32200.568215975625,32242.382715723797,True
2,0,2,32200.653399925053,32248.44139963725,False
0,1,5,32204.26203943425,32252.03900846562,True
2,1,1,32208.422245801026,32244.263245585174,True
2,0,0,32209.894021015698,32245.737087271365,True
2,0,1,32211.410694323873,32253.227604955486,True
6,0,1,32213.69962698956,32279.39675316528,False
1,1,2,32216.088279055984,32251.92721165665,True
0,0,4,32216.41728619535,32264.19977246832,True
4,1,6,32216.7032594505,32294.33634904795,False
4,0,5,32226.776013308925,32304.418071516593,False
1,0,1,32231.587223689152,32267.43028994482,True
0,1,4,32245.43081474238,32287.238076854203,True
6,1,6,32258.53199756736,32348.10863941057,False
0,0,3,32259.977597107587,32301.789685141695,True
5,1,6,32286.773096202058,32370.377961922386,False
3,0,5,32299.365583081068,32371.035175272762,False
1,1,5,32300.087372161026,32353.83646232132,False
1,0,5,32309.728098140695,32369.452758300442,False
0,1,3,32312.139091651523,32347.97595635625,True
4,0,4,32323.304296178016,32394.978025587472,False
5,0,5,32337.29638158737,32420.910905811015,False
6,1,2,32355.098717425004,32420.79204984314,False
0,0,2,32358.810599082844,32394.651598866993,True
5,1,5,32363.072951248218,32440.710525924198,False
3,0,4,32364.642239149696,32430.34315777503,False
1,1,1,32371.619891676935,32401.48739149706,True
3,0,6,32372.36714236485,32450.00471704083,False
4,0,6,32381.08356990215,32464.693265707054,False
1,0,0,32381.976123632892,32411.84706697932,True
1,0,6,32383.83843564274,32449.53176806088,False
6,1,0,32386.357604594843,32440.106694755137,True
2,0,6,32395.86114652801,32467.526600075067,False
6,2,1,32397.40629987316,32457.124061101968,False
5,0,4,32411.962566184346,32489.609106377924,False
6,0,4,32413.75801404201,32497.372538265656,False
5,1,0,32417.981689324704,32465.7614174525,True
5,0,3,32419.290436058618,32490.964165468074,False
5,2,1,32421.940199550096,32475.68928971039,False
4,1,3,32428.005694029664,32487.733801870876,False
0,2,3,32428.12512310058,32463.95991919643,False
5,2,2,32434.024396040804,32493.74560733002,False
0,1,2,32438.353228830434,32468.219005997656,True
2,1,2,32442.799705224512,32484.61179325862,False
1,2,3,32443.16117825591,32484.96844036773,False
4,0,3,32444.30728184397,32510.011991611853,False
6,0,6,32445.129674136482,32540.683612199227,False
0,2,2,32451.63263379873,32481.496687719336,False
4,2,1,32451.989119907874,32499.76884803567,True
4,1,0,32453.934764931084,32495.744440419934,True
0,1,1,32462.90059876568,32486.79459862178,True
2,1,5,32472.84393113362,32532.565142422834,False
4,1,5,32477.181157851694,32548.846611398752,False
5,0,2,32496.467816772565,32562.1687353979,False
3,1,0,32508.45091992765,32544.289852528316,True
6,0,2,32509.321163024215,32580.99075521591,False
3,2,1,32510.448647726767,32552.258323215618,True
2,1,4,32513.485610393065,32567.237804536835,False
3,1,5,32517.32634917876,32583.019681596896,False
5,0,6,32526.6108680769,32616.192685010723,False
1,1,4,32528.735645964072,32576.51537409187,False
3,0,3,32529.0769954333,32588.808549767742,False
3,1,6,32536.125933472118,32607.787246946686,False
2,1,0,32556.285903022523,32586.153402842647,True
2,2,1,32557.95313169202,32593.792064292684,True
6,0,5,32559.377240883274,32648.964231122893,False
2,1,6,32589.299970804732,32654.989508156417,False
3,0,2,32604.042358667888,32657.80385834411,False
1,2,1,32623.751024456324,32653.616801623546,True
1,1,0,32635.05476667644,32658.950144180217,True
0,0,1,32659.672314967902,32689.541536847624,True
2,2,4,32666.62231523192,32720.371405392216,False
6,1,5,32694.486309009477,32778.09600481438,False
5,1,4,32699.203734045837,32770.87332623753,False
5,1,3,32729.715598984883,32795.412725160604,False
4,1,4,32739.274132825074,32804.97125900079,False
6,1,4,32746.61815985146,32824.25573452744,False
6,2,3,32758.596818497426,32830.25813197199,False
5,2,3,32804.108419666176,32869.80175208431,False
3,2,6,32807.172519782805,32878.82969175604,False
6,1,3,32823.283456922945,32894.948910470004,False
6,0,3,32843.20212541715,32920.84418362482,False
4,2,6,32886.38865956933,32964.017262540336,False
3,2,5,32900.276659699986,32965.966197051675,False
6,2,6,32925.114097973055,33014.685562939594,False
3,2,3,32942.215589076906,32995.96778322068,False
5,2,5,32945.76223732188,33023.39532691932,False
1,2,6,32955.02365515278,33014.73796513047,False
2,2,6,32955.9404493994,33021.62619037486,False
5,2,6,32963.62142912398,33047.221463092756,False
3,2,2,32964.37311331954,33012.15559959251,False
5,2,4,32971.643284369246,33043.308737916304,False
4,2,2,32995.03321783169,33048.78541197546,False
4,2,3,32998.86219120634,33058.58685136608,False
4,2,4,33006.97520493834,33072.668537356476,False
6,2,5,33011.7194484093,33095.324314129626,False
1,2,4,33011.744575766825,33059.5215447982,False
4,2,5,33016.29338915888,33087.95470263344,False
2,2,5,33023.56394722386,33083.28170845267,False
6,2,2,33029.528555305595,33095.218092657284,False
1,2,5,33037.42330036631,33091.169285472235,False
0,2,5,33044.41758956341,33092.19179854645,False
2,2,2,33058.73527133328,33100.54494682213,False
3,2,4,33078.37117350861,33138.09238479783,False
6,2,0,33081.4344709859,33135.180456091824,True
6,2,4,33089.716638041864,33167.34972763931,False
2,2,3,33091.82461799469,33139.60434612248,False
0,2,4,33095.31205028892,33137.11689819137,False
0,0,0,33139.071546839405,33162.96830151655,True
5,2,0,33216.19403642528,33263.97100545665,True
0,2,1,33224.561560143615,33248.454181877394,True
0,1,0,33232.9876681678,33250.90920129563,True
1,2,2,33264.68439210232,33300.52125680705,True
0,2,6,33290.76106491209,33344.503943892014,True
4,2,0,33369.29186190558,33411.0991240174,True
3,2,0,33612.37550552182,33648.21237022655,True
2,2,0,33908.49225598617,33938.358033153396,True
1,2,0,34529.20913129352,34553.10313114962,True
0,2,0,36273.43610831213,36291.35660820421,True
4,0,2,68342.20283101522,68401.93438534967,False
3,1,1,,,False
5,1,1,,,False
